task_id,length,deadline,vm_id,thread,start_time,finish_time,exec_time,cost
331,895,1471,2,0,2.12833,2.98500,0.85667,0.02238
332,1554,1690,2,0,3.09500,4.50083,1.40583,0.03885
334,474,1040,2,0,4.61083,5.11583,0.50500,0.01185
335,429,1035,2,0,5.22583,5.69333,0.46750,0.01072
336,1934,2631,2,0,5.80333,7.42750,1.62417,0.04835
337,1847,2411,2,0,7.53750,9.18833,1.65083,0.04617
339,933,1529,2,0,9.29833,10.18583,0.88750,0.02333
342,409,623,0,0,0.98750,1.24313,0.25563,0.01789
346,358,1074,2,1,0.98750,1.35313,0.36563,0.00651
345,757,927,1,0,0.98750,1.57312,0.58563,0.02704
340,1341,1690,2,0,0.98750,2.21500,1.22750,0.03353
341,701,1027,2,0,2.32500,2.91000,0.58500,0.01753
343,770,1507,2,0,3.02000,3.77167,0.75167,0.01925
344,1050,1840,2,0,3.88167,4.75667,0.87500,0.02625
347,1178,1549,2,0,4.86667,5.86917,1.00250,0.02945
348,977,1755,2,0,5.97917,6.81167,0.83250,0.02443
349,1865,2539,2,0,6.92167,8.55167,1.63000,0.04663
350,428,646,0,0,1.73000,1.99750,0.26750,0.01873
351,702,1369,2,0,1.73000,2.42500,0.69500,0.01755
352,623,1199,2,0,2.53500,3.05417,0.51917,0.01557
353,1302,2166,2,0,3.16417,4.27417,1.11000,0.03255
354,846,1596,2,0,4.38417,5.08917,0.70500,0.02115
355,509,1406,2,0,5.19917,5.62333,0.42417,0.01273
356,1111,1673,2,0,5.73333,6.66583,0.93250,0.02777
357,1638,2447,2,0,6.77583,8.25167,1.47583,0.04095
358,784,1290,2,0,8.36167,9.01500,0.65333,0.01960
359,675,1365,2,0,9.12500,9.79750,0.67250,0.01688
363,339,980,1,1,0.77250,1.03327,0.26077,0.01043
360,454,709,0,0,0.77250,1.14327,0.37077,0.01986
365,483,743,2,0,0.77250,1.25327,0.48077,0.01208
361,1674,2179,2,0,1.36327,2.75833,1.39506,0.04185
362,1658,2408,2,0,2.86833,4.36000,1.49167,0.04145
364,1070,2019,2,0,4.47000,5.47250,1.00250,0.02675
366,1262,1564,2,0,5.58250,6.69333,1.11083,0.03155
367,821,1742,2,0,6.80333,7.48833,0.68500,0.02053
368,738,1476,2,0,7.59833,8.21333,0.61500,0.01845
369,993,1768,2,0,8.32333,9.26167,0.93833,0.02483
372,295,1005,2,1,1.03833,1.30651,0.26818,0.00536
376,823,978,0,0,1.03833,1.66270,0.62438,0.03601
378,846,947,1,0,1.03833,1.66270,0.62438,0.03021
370,1585,2052,2,0,1.03833,2.46916,1.43083,0.03963
371,1935,2314,2,0,2.57916,4.19333,1.61417,0.04838
373,1044,1888,2,0,4.30333,5.17333,0.87000,0.02610
374,674,1104,2,0,5.28333,5.95583,0.67250,0.01685
375,1961,2347,2,0,6.06583,7.70000,1.63417,0.04903
377,1997,2882,2,0,7.81000,9.58500,1.77500,0.04993
379,1331,1447,2,0,9.69500,10.91500,1.22000,0.03328
388,124,1105,2,1,1.32000,1.43273,0.11273,0.00225
389,399,937,0,1,1.32000,1.65273,0.33273,0.01596
380,1543,1944,2,0,1.32000,2.71583,1.39583,0.03858
381,1026,1749,2,0,2.82583,3.68167,0.85583,0.02565
382,1194,1419,2,0,3.79167,4.78667,0.99500,0.02985
383,1585,2352,2,0,4.89667,6.21833,1.32167,0.03963
384,483,1012,2,0,6.32833,6.73250,0.40417,0.01208
385,1661,1801,2,0,6.84250,8.33750,1.49500,0.04153
386,943,1395,2,0,8.44750,9.34417,0.89667,0.02358
387,1320,1857,2,0,9.45417,10.56417,1.11000,0.03300
396,452,810,0,0,1.21000,1.59357,0.38357,0.01977
398,537,907,1,0,1.21000,1.70357,0.49357,0.01918
390,943,1615,2,0,1.21000,2.10583,0.89583,0.02358
391,846,1443,2,0,2.21583,2.92500,0.70917,0.02115
392,665,1534,2,0,3.03500,3.58917,0.55417,0.01663
393,451,1218,2,0,3.69917,4.07500,0.37583,0.01128
394,1575,2012,2,0,4.18500,5.53250,1.34750,0.03938
395,861,1210,2,0,5.64250,6.47083,0.82833,0.02153
397,1194,1929,2,0,6.58083,7.57667,0.99583,0.02985
399,639,1009,2,0,7.68667,8.32917,0.64250,0.01598
409,461,730,0,0,0.74250,1.03063,0.28813,0.02017
403,372,1256,2,1,0.74250,1.14063,0.39813,0.00676
408,235,1161,2,1,1.25062,1.56167,0.31104,0.00427
400,1578,1888,2,0,0.74250,2.14167,1.39917,0.03945
401,729,1305,2,0,2.25167,2.96917,0.71750,0.01823
402,1480,2032,2,0,3.07917,4.31333,1.23417,0.03700
404,976,1387,2,0,4.42333,5.34750,0.92417,0.02440
405,1569,1730,2,0,5.45750,6.76667,1.30917,0.03923
406,1660,2644,2,0,6.87667,8.26083,1.38417,0.04150
407,1690,2669,2,0,8.37083,9.89083,1.52000,0.04225
417,334,580,2,1,1.62000,1.92364,0.30364,0.00607
414,511,865,1,0,1.62000,2.03364,0.41364,0.01825
412,671,906,0,0,1.62000,2.14364,0.52364,0.02936
418,379,568,2,1,2.03364,2.49000,0.45636,0.00689
410,1374,1566,2,0,1.62000,2.82000,1.20000,0.03435
411,1273,1402,2,0,2.93000,4.04083,1.11083,0.03183
413,1476,1870,2,0,4.15083,5.38083,1.23000,0.03690
415,1539,2322,2,0,5.49083,6.88417,1.39333,0.03847
416,1434,2031,2,0,6.99417,8.19083,1.19667,0.03585
419,830,1610,2,0,8.30083,9.10250,0.80167,0.02075
428,122,969,1,1,0.90167,1.10552,0.20385,0.00375
425,439,650,0,0,0.90167,1.21552,0.31385,0.01921
420,1178,1390,2,0,0.90167,1.99334,1.09167,0.02945
421,871,1329,2,0,2.10334,2.83000,0.72667,0.02178
422,1613,1769,2,0,2.94000,4.39417,1.45417,0.04033
423,738,1393,2,0,4.50417,5.11917,0.61500,0.01845
424,580,1503,2,0,5.22917,5.82250,0.59333,0.01450
426,1697,2375,2,0,5.93250,7.34750,1.41500,0.04243
427,1509,2373,2,0,7.45750,8.71667,1.25917,0.03773
429,707,1275,2,0,8.82667,9.50084,0.67417,0.01767
437,379,908,1,1,0.77417,1.06571,0.29154,0.01166
431,523,876,0,0,0.77417,1.17571,0.40154,0.02288
430,1128,2033,2,0,0.77417,1.82417,1.05000,0.02820
432,1549,1775,2,0,1.93417,3.33500,1.40083,0.03872
433,654,1027,2,0,3.44500,4.10000,0.65500,0.01635
434,1472,2034,2,0,4.21000,5.54667,1.33667,0.03680
435,896,1120,2,0,5.65667,6.40334,0.74667,0.02240
436,421,1304,2,0,6.51334,6.97417,0.46083,0.01053
438,844,1297,2,0,7.08417,7.78834,0.70417,0.02110
439,585,1284,2,0,7.89834,8.49667,0.59833,0.01462
446,348,1283,2,1,0.69833,1.01469,0.31636,0.00633
444,583,992,0,0,0.69833,1.12469,0.42636,0.02551
440,414,1239,2,0,0.69833,1.12469,0.42636,0.01035
441,1360,1979,2,0,1.23469,2.47833,1.24364,0.03400
442,1838,2574,2,0,2.58833,4.12166,1.53333,0.04595
443,1922,2632,2,0,4.23166,5.83333,1.60167,0.04805
445,523,1438,2,0,5.94333,6.37916,0.43583,0.01308
447,1075,1257,2,0,6.48916,7.49416,1.00500,0.02688
448,919,1292,2,0,7.60416,8.47416,0.87000,0.02298
449,1756,2237,2,0,8.58416,10.15833,1.57417,0.04390
450,590,760,0,0,1.67417,2.04292,0.36875,0.02581
451,899,1216,2,0,1.67417,2.53334,0.85917,0.02248
452,1702,2598,2,0,2.64334,4.10250,1.45917,0.04255
453,852,1730,2,0,4.21250,4.92334,0.71083,0.02130
454,1235,1956,2,0,5.03334,6.14334,1.11000,0.03087
455,477,1284,2,0,6.25334,6.76084,0.50750,0.01193
456,916,1452,2,0,6.87084,7.63500,0.76417,0.02290
457,597,1020,2,0,7.74500,8.24334,0.49833,0.01492
458,1470,1649,2,0,8.35334,9.57917,1.22583,0.03675
459,812,1190,2,0,9.68917,10.47667,0.78750,0.02030
462,228,894,1,1,0.88750,1.06288,0.17538,0.00702
460,335,984,0,1,0.88750,1.17288,0.28538,0.01340
466,285,609,2,1,0.88750,1.17288,0.28538,0.00518
461,116,1040,2,1,1.28288,1.39288,0.11000,0.00211
463,816,1110,2,0,0.88750,1.61288,0.72538,0.02040
464,1449,2085,2,0,1.72288,3.04167,1.31878,0.03623
465,1931,2748,2,0,3.15167,4.76083,1.60917,0.04828
467,881,1208,2,0,4.87083,5.63167,0.76083,0.02203
468,984,1674,2,0,5.74167,6.56167,0.82000,0.02460
469,1826,2365,2,0,6.67167,8.19500,1.52333,0.04565
470,1347,1673,2,0,1.62333,2.74583,1.12250,0.03368
471,573,1347,2,0,2.85583,3.44416,0.58833,0.01433
472,601,1073,2,0,3.55416,4.13416,0.58000,0.01503
473,650,1128,2,0,4.24416,4.89583,0.65167,0.01625
474,708,1678,2,0,5.00583,5.70666,0.70083,0.01770
475,884,1706,2,0,5.81666,6.66333,0.84667,0.02210
476,1639,2069,2,0,6.77333,8.14000,1.36667,0.04098
477,739,1729,2,0,8.25000,8.86583,0.61583,0.01848
